src,dst,edge_type,mode,transit_time_days,edge_exposure,edge_id,item_id,qty_per_parent,uom,scrap_rate,need_by_date,promise_date,lead_time_days,unit_cost_usd,is_qualified,is_selected,allocation_share,min_order_qty,capacity_per_period,capacity_period,meta_json
RAW::Nickel-based Superalloy,PART::Gas Turbine Engine,material_input,sea,43,0.6597657070485996,E_0001,,2000,kg,0.06,9/17/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
PART::Gas Turbine Engine,COMP::Propulsion System,assembly_dependency,sea,23,0.3126959691676156,E_0002,,2,each,0.047,10/31/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
RAW::Titanium Alloy Bar,PART::Gas Turbine Engine,material_input,sea,21,0.8753411018781792,E_0003,,350,kg,0.038,9/17/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
RAW::Alloy Steel Gear Blank,PART::Reduction Gearbox,material_input,land,9,0.7230007231726358,E_0004,,50,kg,0.031,9/20/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
PART::Reduction Gearbox,COMP::Propulsion System,assembly_dependency,land,18,0.6735121513271964,E_0005,,2,each,0.036,10/31/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
RAW::High-Strength Bearing Steel,PART::Reduction Gearbox,material_input,land,12,0.4594892017150309,E_0006,,800,kg,0.081,9/20/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
RAW::RF-grade Copper,PART::Radar Antenna,material_input,land,14,0.3177932494761272,E_0007,,80,kg,0.059,9/25/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
PART::Radar Antenna,COMP::Navigation & Sensors,assembly_dependency,air,31,0.1771127697227994,E_0008,,1,each,0.013,11/15/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
RAW::Composite Epoxy Prepreg,PART::Radar Antenna,material_input,land,29,0.8220819172350734,E_0009,,800,kg,0.02,9/25/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
RAW::Quartz Crystal,PART::Inertial Navigation Unit,material_input,sea,28,0.4646210318668888,E_0010,,200,kg,0.056,10/7/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
PART::Inertial Navigation Unit,COMP::Navigation & Sensors,assembly_dependency,sea,17,0.2618906918361843,E_0011,,4,each,0.046,11/15/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
RAW::Rare-earth Magnets (NdFeB),PART::Inertial Navigation Unit,material_input,sea,43,0.344765299,E_0012,,500,kg,0.086,10/7/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
RAW::Marine-grade Steel (AH36),PART::Hull Plate Section,material_input,land,5,0.5633756551535168,E_0013,,350,kg,0.071,9/8/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
PART::Hull Plate Section,COMP::Hull & Structural,assembly_dependency,air,16,0.2414182263513853,E_0014,,2,each,0.016,10/16/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
RAW::Weld Wire (Flux-Cored),PART::Hull Plate Section,material_input,sea,7,0.7852914272739004,E_0015,,350,kg,0.075,9/8/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
RAW::Stainless Steel 316,PART::Ballast Pump,material_input,land,16,0.7068156238681681,E_0016,,800,kg,0.086,8/10/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
PART::Ballast Pump,COMP::Hull & Structural,assembly_dependency,sea,43,0.6755703647607494,E_0017,,4,each,0.037,10/16/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
RAW::Elastomer Seals (Nitrile),PART::Ballast Pump,material_input,land,17,0.445674432,E_0018,,3500,kg,0.077,8/10/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
SYS::NextGen_Vessel,COMP::Hull & Structural,integrates,internal,0,0.16,E_0019,,1,each,0,10/16/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
SYS::NextGen_Vessel,COMP::Navigation & Sensors,integrates,internal,0,0.111,E_0020,,1,each,0,11/15/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
SYS::NextGen_Vessel,COMP::Propulsion System,integrates,internal,0,0.136,E_0021,,1,each,0,10/31/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
PROG::NextGen_Vessel_Program,ORG::Prime_Shipbuilder,contract_award,governance,0,0.1,E_0022,,,,,,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""data_sensitivity"": ""cui""}"
ORG::Prime_Shipbuilder,SYS::NextGen_Vessel,delivers,internal,0,0.15,E_0023,,1,each,0,10/7/26,,,,,,,,,,"{""scenario_id"": ""Vessel_CaseStudy_v1""}"
ORG::T1_Hull_&_Structural,COMP::Hull & Structural,supply_selected,logistics,45,0.623,E_0024,COMP::Hull & Structural,,,,11/30/26,11/22/26,153,4389235.75,TRUE,TRUE,1,10,200,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T1""}"
ORG::T1_Navigation_&_Sensors,COMP::Navigation & Sensors,supply_selected,logistics,21,0.215,E_0025,COMP::Navigation & Sensors,,,,4/18/27,4/10/27,74,4867786.2,TRUE,TRUE,1,50,20,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T1""}"
ORG::T1_Propulsion_System,COMP::Propulsion System,supply_selected,logistics,3,0.321,E_0026,COMP::Propulsion System,,,,4/26/27,4/19/27,37,8080384.33,TRUE,TRUE,1,25,5,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T1""}"
ORG::T2_Ballast_Pump,PART::Ballast Pump,supply_selected,logistics,10,0.653,E_0027,PART::Ballast Pump,,,,8/14/26,8/2/26,123,121144.86,TRUE,TRUE,1,10,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::ALT_Ballast_Pump_1,PART::Ballast Pump,supply_offer,logistics,5,0.695,E_0028,PART::Ballast Pump,,,,9/4/26,8/30/26,109,111888.26,TRUE,FALSE,0,1,200,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::ALT_Ballast_Pump_2,PART::Ballast Pump,supply_offer,logistics,5,0.47,E_0029,PART::Ballast Pump,,,,8/10/26,7/21/26,127,87513.96,TRUE,FALSE,0,50,100,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::T2_Gas_Turbine_Engine,PART::Gas Turbine Engine,supply_selected,logistics,30,0.731,E_0030,PART::Gas Turbine Engine,,,,12/17/26,12/13/26,82,87864.44,TRUE,TRUE,1,10,10,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::ALT_Gas_Turbine_Engine_1,PART::Gas Turbine Engine,supply_offer,logistics,10,0.738,E_0031,PART::Gas Turbine Engine,,,,12/18/26,12/7/26,74,83963.59,TRUE,FALSE,0,25,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::ALT_Gas_Turbine_Engine_2,PART::Gas Turbine Engine,supply_offer,logistics,14,0.314,E_0032,PART::Gas Turbine Engine,,,,12/22/26,12/11/26,70,77501.56,TRUE,FALSE,0,5,100,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::T2_Hull_Plate_Section,PART::Hull Plate Section,supply_selected,logistics,7,0.644,E_0033,PART::Hull Plate Section,,,,11/11/26,10/30/26,92,263195.08,TRUE,TRUE,1,10,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::ALT_Hull_Plate_Section_1,PART::Hull Plate Section,supply_offer,logistics,10,0.733,E_0034,PART::Hull Plate Section,,,,10/30/26,10/21/26,107,299635.01,TRUE,FALSE,0,25,200,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::ALT_Hull_Plate_Section_2,PART::Hull Plate Section,supply_offer,logistics,30,0.484,E_0035,PART::Hull Plate Section,,,,11/21/26,11/15/26,88,347597.94,TRUE,FALSE,0,5,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::T2_Inertial_Navigation_Unit,PART::Inertial Navigation Unit,supply_selected,logistics,10,0.492,E_0036,PART::Inertial Navigation Unit,,,,1/3/27,1/3/27,109,142194.15,TRUE,TRUE,1,10,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::ALT_Inertial_Navigation_Unit_1,PART::Inertial Navigation Unit,supply_offer,logistics,30,0.657,E_0037,PART::Inertial Navigation Unit,,,,2/3/27,1/26/27,70,113680.73,TRUE,FALSE,0,1,100,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::ALT_Inertial_Navigation_Unit_2,PART::Inertial Navigation Unit,supply_offer,logistics,3,0.209,E_0038,PART::Inertial Navigation Unit,,,,12/31/26,12/13/26,94,140046.22,TRUE,FALSE,0,1,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::T2_Radar_Antenna,PART::Radar Antenna,supply_selected,logistics,10,0.468,E_0039,PART::Radar Antenna,,,,1/1/27,1/1/27,87,564454.64,TRUE,TRUE,1,10,20,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::ALT_Radar_Antenna_1,PART::Radar Antenna,supply_offer,logistics,5,0.479,E_0040,PART::Radar Antenna,,,,11/12/26,10/24/26,118,699765.3,TRUE,FALSE,0,1,20,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::ALT_Radar_Antenna_2,PART::Radar Antenna,supply_offer,logistics,3,0.678,E_0041,PART::Radar Antenna,,,,12/18/26,12/7/26,90,519126.59,FALSE,FALSE,0,1,5,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::T2_Reduction_Gearbox,PART::Reduction Gearbox,supply_selected,logistics,5,0.545,E_0042,PART::Reduction Gearbox,,,,11/29/26,11/27/26,108,237103.22,TRUE,TRUE,1,10,200,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::ALT_Reduction_Gearbox_1,PART::Reduction Gearbox,supply_offer,logistics,5,0.694,E_0043,PART::Reduction Gearbox,,,,12/14/26,12/8/26,89,250179.54,TRUE,FALSE,0,5,5,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::ALT_Reduction_Gearbox_2,PART::Reduction Gearbox,supply_offer,logistics,30,0.428,E_0044,PART::Reduction Gearbox,,,,11/21/26,11/9/26,106,306356.14,TRUE,FALSE,0,1,100,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T2""}"
ORG::T3_Alloy_Steel_Gear_Blank,RAW::Alloy Steel Gear Blank,supply_selected,logistics,14,0.745,E_0045,RAW::Alloy Steel Gear Blank,,,,11/28/26,11/24/26,27,25472.59,TRUE,TRUE,1,25,5,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Alloy_Steel_Gear_Blank_1,RAW::Alloy Steel Gear Blank,supply_offer,logistics,5,0.504,E_0046,RAW::Alloy Steel Gear Blank,,,,12/4/26,12/2/26,23,23632.06,TRUE,FALSE,0,1,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Alloy_Steel_Gear_Blank_2,RAW::Alloy Steel Gear Blank,supply_offer,logistics,45,0.645,E_0047,RAW::Alloy Steel Gear Blank,,,,11/16/26,11/2/26,29,20644.11,TRUE,FALSE,0,1,200,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::T3_Composite_Epoxy_Prepreg,RAW::Composite Epoxy Prepreg,supply_selected,logistics,45,0.475,E_0048,RAW::Composite Epoxy Prepreg,,,,10/6/26,9/26/26,40,13960.3,TRUE,TRUE,1,5,20,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Composite_Epoxy_Prepreg_1,RAW::Composite Epoxy Prepreg,supply_offer,logistics,14,0.767,E_0049,RAW::Composite Epoxy Prepreg,,,,10/7/26,10/5/26,47,14867.06,TRUE,FALSE,0,10,100,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Composite_Epoxy_Prepreg_2,RAW::Composite Epoxy Prepreg,supply_offer,logistics,45,0.746,E_0050,RAW::Composite Epoxy Prepreg,,,,10/8/26,10/2/26,42,12594.84,FALSE,FALSE,0,10,10,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::T3_Elastomer_Seals_(Nitrile),RAW::Elastomer Seals (Nitrile),supply_selected,logistics,14,0.539,E_0051,RAW::Elastomer Seals (Nitrile),,,,7/25/26,7/22/26,46,2008.87,TRUE,TRUE,1,1,5,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Elastomer_Seals_Nitrile_1,RAW::Elastomer Seals (Nitrile),supply_offer,logistics,10,0.633,E_0052,RAW::Elastomer Seals (Nitrile),,,,7/17/26,7/3/26,43,2133.68,TRUE,FALSE,0,10,5,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Elastomer_Seals_Nitrile_2,RAW::Elastomer Seals (Nitrile),supply_offer,logistics,10,0.364,E_0053,RAW::Elastomer Seals (Nitrile),,,,7/19/26,7/3/26,39,1977.89,FALSE,FALSE,0,5,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::T3_High-Strength_Bearing_Steel,RAW::High-Strength Bearing Steel,supply_selected,logistics,21,0.396,E_0054,RAW::High-Strength Bearing Steel,,,,10/15/26,10/5/26,53,22804.89,TRUE,TRUE,1,5,20,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_High_Strength_Bearing_St_1,RAW::High-Strength Bearing Steel,supply_offer,logistics,21,0.234,E_0055,RAW::High-Strength Bearing Steel,,,,10/13/26,9/23/26,45,20744.01,TRUE,FALSE,0,50,10,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_High_Strength_Bearing_St_2,RAW::High-Strength Bearing Steel,supply_offer,logistics,14,0.836,E_0056,RAW::High-Strength Bearing Steel,,,,10/19/26,10/3/26,43,26452.25,TRUE,FALSE,0,5,10,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::T3_Marine-grade_Steel_(AH36),RAW::Marine-grade Steel (AH36),supply_selected,logistics,7,0.342,E_0057,RAW::Marine-grade Steel (AH36),,,,11/19/26,11/15/26,10,19754.97,TRUE,TRUE,1,25,20,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Marine_grade_Steel_AH36_1,RAW::Marine-grade Steel (AH36),supply_offer,logistics,5,0.761,E_0058,RAW::Marine-grade Steel (AH36),,,,11/19/26,11/17/26,12,18322.64,TRUE,FALSE,0,5,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
