node_id,node_type,name,tier,criticality,lead_time_baseline_days,unit_cost_usd,single_source_flag,owner_org_id,country,region,capacity_index,cyber_maturity,attack_surface,trust_zone,it_ot_profile,latitude,longitude,need_by_date,procurement_start_date,integration_start,sampled_buffer_days,sampled_integration_duration_days,used_lead_time_days
COMP::Hull & Structural,component,Hull & Structural,T1_component,0.932186815,135.0,4483846.290786349,1,ORG::T1_Hull_&_Structural,US,,0.7,0.6,0.4,internal,ot,,,2026-07-18,2025-12-25,2026-05-28,52,51.0,153
COMP::Navigation & Sensors,component,Navigation & Sensors,T1_component,0.8316635319256157,83.0,5507054.977,1,ORG::T1_Navigation_&_Sensors,US,,0.7,0.6,0.4,internal,ot,,,2026-07-18,2026-03-28,2026-06-11,38,37.0,74
COMP::Propulsion System,component,Propulsion System,T1_component,0.9575793759734148,40.0,8691837.986,1,ORG::T1_Propulsion_System,US,,0.7,0.6,0.4,internal,ot,,,2026-07-18,2026-04-28,2026-05-31,44,48.0,37
PART::Ballast Pump,part,Ballast Pump,T2_part,0.748684015,117.0,100580.6616529606,0,ORG::T2_Ballast_Pump,US,,0.7,0.6,0.4,internal,ot,,,2026-05-28,2026-01-12,2026-05-10,13,18.0,123
PART::Gas Turbine Engine,part,Gas Turbine Engine,T2_part,0.4470886739438248,61.0,80744.33276053012,0,ORG::T2_Gas_Turbine_Engine,US,,0.7,0.6,0.4,internal,ot,,,2026-05-31,2026-02-17,2026-05-04,21,27.0,82
PART::Hull Plate Section,part,Hull Plate Section,T2_part,0.887811176,109.0,289119.7996861281,0,ORG::T2_Hull_Plate_Section,US,,0.7,0.6,0.4,internal,ot,,,2026-05-28,2026-02-18,2026-04-28,7,30.0,92
PART::Inertial Navigation Unit,part,Inertial Navigation Unit,T2_part,0.7805698509951765,86.0,115476.17609249544,0,ORG::T2_Inertial_Navigation_Unit,US,,0.7,0.6,0.4,internal,ot,,,2026-06-11,2026-02-02,2026-05-31,20,11.0,109
PART::Radar Antenna,part,Radar Antenna,T2_part,0.7930321526384769,97.0,591632.7504944726,1,ORG::T2_Radar_Antenna,US,,0.7,0.6,0.4,internal,ot,,,2026-06-11,2026-03-09,2026-05-30,7,12.0,87
PART::Reduction Gearbox,part,Reduction Gearbox,T2_part,0.4640568163377729,95.0,250791.9566028028,0,ORG::T2_Reduction_Gearbox,US,,0.7,0.6,0.4,internal,ot,,,2026-05-31,2026-01-20,2026-05-13,23,18.0,108
RAW::Alloy Steel Gear Blank,raw_material,Alloy Steel Gear Blank,T3_raw,0.4251929689477836,23.0,23138.030885577624,0,ORG::T3_Alloy_Steel_Gear_Blank,US,,0.7,0.6,0.4,internal,ot,,,2026-05-13,2026-03-29,2026-04-25,18,18.0,27
