run_id,disrupted_node_id,node_type,layer_id,disruption_days,local_buffer_days,root_delay_days,root_impacted,number_of_impacted_nodes
1,COMP::Hull & Structural,component,1,1,25,0,False,0
2,COMP::Hull & Structural,component,1,2,25,0,False,0
3,COMP::Hull & Structural,component,1,3,25,0,False,0
4,COMP::Hull & Structural,component,1,4,25,0,False,0
5,COMP::Hull & Structural,component,1,5,25,0,False,0
6,COMP::Hull & Structural,component,1,6,25,0,False,0
7,COMP::Hull & Structural,component,1,7,25,0,False,0
8,COMP::Hull & Structural,component,1,8,25,0,False,0
9,COMP::Hull & Structural,component,1,9,25,0,False,0
10,COMP::Hull & Structural,component,1,10,25,0,False,0
11,COMP::Hull & Structural,component,1,11,25,0,False,0
12,COMP::Hull & Structural,component,1,12,25,0,False,0
13,COMP::Hull & Structural,component,1,13,25,0,False,0
14,COMP::Hull & Structural,component,1,14,25,0,False,0
15,COMP::Hull & Structural,component,1,15,25,0,False,0
16,COMP::Hull & Structural,component,1,16,25,0,False,0
17,COMP::Hull & Structural,component,1,17,25,0,False,0
18,COMP::Hull & Structural,component,1,18,25,0,False,0
19,COMP::Hull & Structural,component,1,19,25,0,False,0
20,COMP::Hull & Structural,component,1,20,25,0,False,0
21,COMP::Hull & Structural,component,1,21,25,0,False,0
22,COMP::Hull & Structural,component,1,22,25,0,False,0
23,COMP::Hull & Structural,component,1,23,25,0,False,0
24,COMP::Hull & Structural,component,1,24,25,0,False,0
25,COMP::Hull & Structural,component,1,25,25,0,False,0
26,COMP::Hull & Structural,component,1,26,25,1,True,2
27,COMP::Hull & Structural,component,1,27,25,2,True,2
28,COMP::Hull & Structural,component,1,28,25,3,True,2
29,COMP::Hull & Structural,component,1,29,25,4,True,2
30,COMP::Hull & Structural,component,1,30,25,5,True,2
31,COMP::Hull & Structural,component,1,31,25,6,True,2
32,COMP::Hull & Structural,component,1,32,25,7,True,2
33,COMP::Hull & Structural,component,1,33,25,8,True,2
34,COMP::Hull & Structural,component,1,34,25,9,True,2
35,COMP::Hull & Structural,component,1,35,25,10,True,2
